Critère;"AUVERGNE-
RHÔNE-ALPES";Ain;Allier;Ardèche;Cantal;Drôme;Isère;Loire;Haute-Loire;Puy-de-Dôme;Rhône;Savoie;Haute-Savoie;"BOURGOGNE-
FRANCHE-COMTE";Côte-d'Or;Doubs;Jura;Nièvre;Haute-Saône;Saône-et-Loire;Yonne;Territoire de Belfort;BRETAGNE;Côtes d'Armor;Finistère;Ille-et-Vilaine;Morbihan;"CENTRE - 
VAL DE LOIRE";Cher;Eure-et-Loir;Indre;Indre-et-Loire;Loir-et-Cher;Loiret;CORSE;Corse du sud;Haute Corse;GRAND EST;Ardennes;Aube;Marne;Haute-Marne;Meurthe-et-Moselle;Meuse;Moselle;Bas-Rhin;Haut-Rhin;Vosges;HAUTS-DE-FRANCE ;Aisne;Nord;Oise;Pas-de-Calais;Somme;ILE-DE-FRANCE;Paris;Seine-et-Marne;Yvelines;Essonne;Hauts-de-Seine;Seine-Saint-Denis;Val-de-Marne;Val-d'Oise;NORMANDIE;Calvados;Eure;Manche;Orne;Seine-Maritime;NOUVELLE-AQUITAINE;Charente;Charente-Maritime;Corrèze;Creuse;Dordogne;Gironde;Landes;Lot-et-Garonne;Pyrénées-Atlantiques;Deux-Sèvres;Vienne;Haute-Vienne;OCCITANIE;Ariège;Aude;Aveyron;Gard;Haute-Garonne;Gers;Hérault;Lot;Lozère;Hautes-Pyrénées;Pyrénées-Orientales;Tarn;Tarn-et-Garonne;PAYS DE LA LOIRE;Loire-Atlantique;Maine-et-Loire;Mayenne;Sarthe;Vendée; PACA  ;Alpes-de-Haute-Provence;Hautes-Alpes;Alpes-Maritimes;Bouches-du-Rhône;Var;Vaucluse;France métropolitaine;ANTILLES-GUYANE;Guadeloupe;Martinique;Guyane;OCEAN INDIEN;La Réunion;Mayotte;France entière
Taux de pauvreté monétaire (seuil de pauvreté à 60%) (1);12,7;10,7;15,5;14,4;13,4;15,2;11,5;14,9;12,3;12,9;13,9;10,1;9,2;13,1;11,6;12,2;11,7;15,8;14,0;13,0;14,7;14,6;11,1;12,1;10,8;10,6;11,3;13,2;14,9;12,2;14,8;12,8;12,8;13,2;19,6;17,2;21,7;14,5;19,4;16,2;14,4;15,6;14,5;15,5;14,6;13,1;13,1;15,7;18,3;18,9;19,2;13,1;19,8;17,1;15,7;15,8;11,6;9,7;12,9;12,2;28,6;16,7;16,8;13,7;12,6;13,0;12,5;16,0;14,7;13,7;14,9;13,4;13,2;18,4;16,5;12,7;11,9;17,2;12,1;12,4;14,1;15,3;16,9;18,5;21,1;13,7;19,8;12,8;15,0;19,2;14,7;14,3;15,0;20,7;15,5;17,2;11,0;10,2;11,7;11,7;13,4;9,6;17,2;16,4;14,3;15,7;18,5;15,5;19,7;14,7;nd;nd;29,8;nd;nd;39,0;83,9;nd
Taux de population couverte par le RSA en % (allocataire, conjoint et personnes à charge) (2) (4);4,0;2,3;6,1;3,9;3,2;4,6;3,8;4,8;2,7;4,8;5,2;2,4;1,8;4,3;3,5;4,5;2,8;5,7;3,8;3,8;5,6;5,7;3,3;3,5;3,4;3,1;3,4;4,8;6,5;4,0;5,1;4,5;4,6;4,9;3,3;2,6;3,9;5,4;8,1;6,6;5,2;5,1;6,0;5,4;5,2;4,8;4,2;5,9;8,0;7,5;9,2;5,1;8,4;6,8;5,3;4,5;4,3;3,1;4,4;3,4;10,6;6,0;5,8;5,1;4,1;4,6;3,0;5,1;6,8;4,8;6,4;4,6;2,7;4,5;5,0;5,0;3,8;6,0;4,0;3,9;5,7;5,7;6,3;7,4;8,8;2,9;8,5;5,1;4,1;6,8;4,1;2,7;4,8;9,2;5,6;5,4;3,5;4,0;4,0;2,5;4,2;2,1;6,4;5,0;3,6;4,2;8,3;5,6;6,4;5,2;nd;21,9;17,6;22,2;nd;26,2;5,9;5,8
Ouvriers;17 520;17 740;17 220;16 950;16 490;16 580;17 620;17 420;17 050;18 470;16 820;18 510;18 640;17 450;17 320;17 390;17 680;17 200;17 510;17 670;17 190;17 430;16 690;16 490;16 700;16 790;16 710;17 450;17 300;18 000;16 940;17 300;17 470;17 420;16 340;16 510;16 180;17 750;18 250;17 020;17 960;17 800;17 400;17 900;17 440;17 920;17 990;17 770;17 450;17 950;16 800;18 500;17 480;17 800;17 430;16 000;18 700;18 400;18 190;17 370;16 050;17 490;17 630;18 090;17 160;18 450;17 700;16 990;18 800;16 800;17 290;16 710;16 880;16 090;16 490;16 750;16 610;15 910;17 460;16 600;17 130;16 850;16 320;17 040;15 630;17 110;16 600;16 850;16 040;15 610;16 370;15 870;16 780;15 210;16 530;16 420;17 230;17 440;16 760;17 070;17 650;17 140;16 600;16 480;16 430;16 820;16 770;16 340;16 190;17 260;nd;16 360;16 830;15 870;nd;16 170;nd;17 240
